rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
3/20/2025 4:47:46 PM,2024,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,370,389,613,13112,20995,14371,0,3445,0,0,1437
3/20/2025 4:47:46 PM,2024,Passenger,ACROPOLIS AVIATION LTD,445,130,582,1440,8457,4788,0,1558,0,0,407
3/20/2025 4:47:46 PM,2024,Passenger,AER LINGUS (UK) LTD,8166,1349,9904,320530,2588750,1929175,4282,387569,2153,23192,180830
3/20/2025 4:47:46 PM,2024,Passenger,AIRTANKER SERVICES LTD,6020,1766,8380,45136,1858728,1309986,0,245635,0,0,113625
3/20/2025 4:47:46 PM,2024,Passenger,ASCEND AIRWAYS LTD,2699,1195,4159,1375,510131,470588,0,54475,0,0,40020
3/20/2025 4:47:46 PM,2024,Passenger,AURIGNY AIR SERVICES,3414,14667,12837,570443,238138,160178,124,21432,3,5,14418
3/20/2025 4:47:46 PM,2024,Passenger,BA CITYFLYER LTD,22918,30369,47745,2384607,2305741,1851490,0,231612,0,0,163968
3/20/2025 4:47:46 PM,2024,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,40417,23987,68894,3525286,7439480,6098113,0,798854,0,0,568207
3/20/2025 4:47:46 PM,2024,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,431,1083,877,16316,21138,5872,0,1941,0,0,493
3/20/2025 4:47:46 PM,2024,Passenger,BLUE ISLANDS LIMITED,1814,8512,6686,340607,123359,75888,88,11100,0,17,6823
3/20/2025 4:47:46 PM,2024,Passenger,BRITISH AIRWAYS PLC,662058,249570,996212,39840238,165340225,141168089,502766,24448924,82246,3491705,13705000
3/20/2025 4:47:46 PM,2024,Passenger,CATREUS AOC LTD,801,510,1138,1087,9126,2956,0,2661,0,0,295
3/20/2025 4:47:46 PM,2024,Passenger,CONCIERGE U LTD,1252,279,1548,1156,17503,4862,0,3624,0,0,423
3/20/2025 4:47:46 PM,2024,Passenger,EASTERN AIRWAYS,3958,9987,8658,160027,321662,192916,0,32166,0,0,19292
3/20/2025 4:47:46 PM,2024,Passenger,EASYJET UK LTD,379840,279573,649087,42384759,68214376,60625893,0,5801523,0,0,5154074
3/20/2025 4:47:46 PM,2024,Passenger,EMERALD AIRLINES UK LTD,5091,15823,14220,842517,366563,272884,0,38184,0,0,23195
3/20/2025 4:47:46 PM,2024,Passenger,EXECUTIVE JET CHARTER LTD,333,103,340,320,4309,801,0,333,0,0,80
3/20/2025 4:47:46 PM,2024,Passenger,JET2.COM LTD,268583,114496,404191,19495418,52508973,46150792,0,5122804,0,0,3922898
3/20/2025 4:47:46 PM,2024,Passenger,LOGANAIR LTD,17281,51660,51988,1361681,914497,528708,670,95869,16,157,44961
3/20/2025 4:47:46 PM,2024,Passenger,LONDON EXECUTIVE AVIATION LTD,1371,827,1928,2378,17121,4721,0,4867,0,0,467
3/20/2025 4:47:46 PM,2024,Passenger,NORSE ATLANTIC UK LTD,18079,2656,22921,664300,6113168,4677740,11975,1000966,1,81412,427484
3/20/2025 4:47:46 PM,2024,Passenger,PEN-AVIA LTD,81,75,127,573,1275,528,0,215,0,0,44
3/20/2025 4:47:46 PM,2024,Passenger,RVL AVIATION LTD,259,665,735,0,1813,585,0,388,0,3,58
3/20/2025 4:47:46 PM,2024,Passenger,RYANAIR UK LTD,42452,30503,71111,4866522,8035237,6961334,0,870266,0,0,559144
3/20/2025 4:47:46 PM,2024,Passenger,TAG AVIATION (UK) LTD,66,41,97,159,661,231,0,99,0,0,23
3/20/2025 4:47:46 PM,2024,Passenger,TITAN AIRWAYS LTD,9250,4207,14077,91648,1797267,1432184,59,152601,0,246,121730
3/20/2025 4:47:46 PM,2024,Passenger,TUI AIRWAYS LTD,188480,64193,266850,12015144,41754132,38025657,4819,5381022,0,30856,3442969
3/20/2025 4:47:46 PM,2024,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,169280,25224,216648,5481927,49500564,37920528,178254,9349824,0,1251653,3564443
3/20/2025 4:47:46 PM,2024,Passenger,VIRGIN ATLANTIC INTERNATIONAL,3093,634,4089,97136,816555,620061,791,147846,0,4988,58288
3/20/2025 4:47:46 PM,2024,Passenger,VOLUXIS LTD,408,139,527,576,4975,1664,0,472,0,0,146
3/20/2025 4:47:46 PM,2024,Passenger,WIZZ AIR UK LTD,51051,25798,81259,5116389,12169682,10204660,0,1136342,0,0,976170
3/20/2025 4:47:46 PM,2024,Cargo,ASL AIRLINES UK LTD,666,1594,1902,0,0,0,7568,11144,0,3774,0
3/20/2025 4:47:46 PM,2024,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,547,212,849,0,0,0,765,13359,0,3951,0
3/20/2025 4:47:46 PM,2024,Cargo,BRITISH AIRWAYS PLC,5327,2439,7758,0,0,0,49504,297905,18,242979,0
3/20/2025 4:47:46 PM,2024,Cargo,DHL AIR LTD,51628,13720,70198,0,0,0,394559,3975121,0,2109903,0
3/20/2025 4:47:46 PM,2024,Cargo,EUROPEAN CARGO LTD,5305,688,7908,0,0,0,28192,371332,0,227429,0
3/20/2025 4:47:46 PM,2024,Cargo,LOGANAIR LTD,860,2907,2943,0,0,0,5628,6054,1845,0,0
