rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
10/22/2024 9:23:19 AM,202408,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,33,26,49,965,1973,1217,0,324,0,0,122
10/22/2024 9:23:19 AM,202408,Passenger,ACROPOLIS AVIATION LTD,33,16,45,176,636,356,0,117,0,0,30
10/22/2024 9:23:19 AM,202408,Passenger,AER LINGUS (UK) LTD,734,120,882,35107,232686,214238,350,34831,180,1893,20139
10/22/2024 9:23:19 AM,202408,Passenger,AIRTANKER SERVICES LTD,604,217,868,2569,191155,159537,0,24641,0,0,13690
10/22/2024 9:23:19 AM,202408,Passenger,ASCEND AIRWAYS LTD,554,240,842,0,104708,101089,0,11183,0,0,8597
10/22/2024 9:23:19 AM,202408,Passenger,AURIGNY AIR SERVICES,341,1425,1316,61236,22671,17861,11,2040,0,0,1608
10/22/2024 9:23:19 AM,202408,Passenger,BA CITYFLYER LTD,2569,2631,4838,224940,266333,222778,0,26449,0,0,20119
10/22/2024 9:23:19 AM,202408,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,4030,2302,6924,371816,754221,664013,0,80276,0,0,61630
10/22/2024 9:23:19 AM,202408,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,28,88,60,1124,1359,357,0,125,0,0,30
10/22/2024 9:23:19 AM,202408,Passenger,BLUE ISLANDS LIMITED,208,885,750,37403,14141,9606,7,1273,0,1,864
10/22/2024 9:23:19 AM,202408,Passenger,BRITISH AIRWAYS PLC,59228,22090,88787,3760262,14674191,13167541,43737,2159159,6554,303514,1280688
10/22/2024 9:23:19 AM,202408,Passenger,CATREUS AOC LTD,64,49,91,121,717,280,0,191,0,0,28
10/22/2024 9:23:19 AM,202408,Passenger,CONCIERGE U LTD,79,22,99,113,1112,411,0,230,0,0,36
