rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
2/24/2025 8:49:48 AM,202412,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,15,27,28,987,795,701,0,130,0,0,70
2/24/2025 8:49:48 AM,202412,Passenger,ACROPOLIS AVIATION LTD,32,8,44,91,615,328,0,113,0,0,28
2/24/2025 8:49:48 AM,202412,Passenger,AER LINGUS (UK) LTD,728,121,899,32839,230699,195299,500,34533,332,2529,18358
2/24/2025 8:49:48 AM,202412,Passenger,AIRTANKER SERVICES LTD,253,52,336,3428,74737,41557,0,10334,0,0,3708
2/24/2025 8:49:48 AM,202412,Passenger,ASCEND AIRWAYS LTD,10,27,28,0,1837,661,0,198,0,0,56
2/24/2025 8:49:48 AM,202412,Passenger,AURIGNY AIR SERVICES,276,1192,965,44475,19503,12290,8,1755,0,0,1106
2/24/2025 8:49:48 AM,202412,Passenger,BA CITYFLYER LTD,1421,2163,3193,181000,150595,119527,0,15057,0,0,10525
2/24/2025 8:49:48 AM,202412,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,2745,1636,4712,203858,501930,344560,0,54037,0,0,32626
2/24/2025 8:49:48 AM,202412,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,23,52,46,924,1127,343,0,103,0,0,29
2/24/2025 8:49:48 AM,202412,Passenger,BLUE ISLANDS LIMITED,99,500,387,19569,6736,4028,9,606,0,2,362
2/24/2025 8:49:48 AM,202412,Passenger,BRITISH AIRWAYS PLC,53631,20306,81590,3242577,13592308,11612472,45106,2028201,8679,311132,1139722
2/24/2025 8:49:48 AM,202412,Passenger,CATREUS AOC LTD,50,40,76,33,502,155,0,147,0,0,15
2/24/2025 8:49:48 AM,202412,Passenger,CONCIERGE U LTD,85,22,108,77,1155,265,0,241,0,0,24
2/24/2025 8:49:48 AM,202412,Passenger,EASTERN AIRWAYS,370,912,753,7965,30767,19745,0,3077,0,0,1975
2/24/2025 8:49:48 AM,202412,Passenger,EASYJET UK LTD,27959,22177,49265,3285037,5018088,4211864,0,426789,0,0,358072
2/24/2025 8:49:48 AM,202412,Passenger,EMERALD AIRLINES UK LTD,396,1244,1019,61926,28515,19803,0,2970,0,0,1683
2/24/2025 8:49:48 AM,202412,Passenger,EXECUTIVE JET CHARTER LTD,17,6,22,17,232,79,0,17,0,0,8
2/24/2025 8:49:48 AM,202412,Passenger,JET2.COM LTD,12788,5514,19687,864871,2506497,2031607,0,244133,0,0,172693
2/24/2025 8:49:48 AM,202412,Passenger,LOGANAIR LTD,1210,3645,3686,93020,65211,35693,51,6807,1,11,3034
2/24/2025 8:49:48 AM,202412,Passenger,LONDON EXECUTIVE AVIATION LTD,115,58,157,189,1504,384,0,444,0,0,38
2/24/2025 8:49:48 AM,202412,Passenger,NORSE ATLANTIC UK LTD,1272,177,1617,52709,429915,379017,1007,70459,1,7538,35409
2/24/2025 8:49:48 AM,202412,Passenger,PEN-AVIA LTD,5,8,8,44,78,18,0,13,0,0,2
2/24/2025 8:49:48 AM,202412,Passenger,RVL AVIATION LTD,21,56,57,0,146,47,0,31,0,1,5
2/24/2025 8:49:48 AM,202412,Passenger,RYANAIR UK LTD,3500,2601,6023,401709,664319,521439,0,71758,0,0,42024
2/24/2025 8:49:48 AM,202412,Passenger,TAG AVIATION (UK) LTD,14,6,18,30,136,52,0,20,0,0,5
2/24/2025 8:49:48 AM,202412,Passenger,TITAN AIRWAYS LTD,379,156,566,19729,71687,47780,14,6070,0,41,4060
2/24/2025 8:49:48 AM,202412,Passenger,TUI AIRWAYS LTD,10141,2909,14090,531978,2362082,2074285,489,314022,0,3496,187845
2/24/2025 8:49:48 AM,202412,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,13848,2071,17793,474671,3988245,3254507,15909,763976,0,111489,305928
2/24/2025 8:49:48 AM,202412,Passenger,VIRGIN ATLANTIC INTERNATIONAL,401,70,513,11166,105861,72466,48,19167,0,320,6812
2/24/2025 8:49:48 AM,202412,Passenger,VOLUXIS LTD,50,13,61,60,674,180,0,54,0,0,16
2/24/2025 8:49:48 AM,202412,Passenger,WIZZ AIR UK LTD,4408,2222,7035,407608,1053347,809134,0,98529,0,0,77395
2/24/2025 8:49:48 AM,202412,Cargo,ASL AIRLINES UK LTD,50,120,143,0,0,0,573,788,0,298,0
2/24/2025 8:49:48 AM,202412,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,31,12,48,0,0,0,47,755,0,243,0
2/24/2025 8:49:48 AM,202412,Cargo,BRITISH AIRWAYS PLC,404,180,541,0,0,0,3624,22284,0,19490,0
2/24/2025 8:49:48 AM,202412,Cargo,DHL AIR LTD,4385,1073,5961,0,0,0,27467,327136,0,165220,0
2/24/2025 8:49:48 AM,202412,Cargo,EUROPEAN CARGO LTD,491,67,750,0,0,0,3092,34379,0,22431,0
2/24/2025 8:49:48 AM,202412,Cargo,LOGANAIR LTD,74,214,248,0,0,0,514,515,192,0,0
2/24/2025 8:49:48 AM,202412,Cargo,ONE AIR LTD,235,42,316,0,0,0,1828,28579,0,20691,0
2/24/2025 8:49:48 AM,202412,Cargo,RVL AVIATION LTD,3,9,9,0,0,0,0,4,0,0,0
2/24/2025 8:49:48 AM,202412,Cargo,TITAN AIRWAYS LTD,237,118,391,0,0,0,1846,13973,0,6230,0
2/24/2025 8:49:48 AM,202412,Cargo,VIRGIN ATLANTIC AIRWAYS LTD,18,51,60,0,0,0,418,1073,0,147,0
2/24/2025 8:49:48 AM,202412,Cargo,WEST ATLANTIC UK LTD,182,479,491,0,0,0,2597,3087,737,328,0
