rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
7/23/2024 9:51:06 AM,202405,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,30,37,52,1209,1592,1269,0,261,0,0,127
7/23/2024 9:51:06 AM,202405,Passenger,ACROPOLIS AVIATION LTD,37,13,47,145,697,395,0,128,0,0,34
7/23/2024 9:51:06 AM,202405,Passenger,AER LINGUS (UK) LTD,715,118,863,25612,226562,154430,381,33914,176,2096,14517
7/23/2024 9:51:06 AM,202405,Passenger,AIRTANKER SERVICES LTD,643,202,901,3199,199716,147235,0,26250,0,0,12676
7/23/2024 9:51:06 AM,202405,Passenger,ASCEND AIRWAYS LTD,283,116,431,0,53412,48312,0,5719,0,0,4106
7/23/2024 9:51:06 AM,202405,Passenger,AURIGNY AIR SERVICES,332,1348,1215,52923,23813,15559,10,2143,0,0,1401
7/23/2024 9:51:06 AM,202405,Passenger,BA CITYFLYER LTD,2067,2738,4287,207125,202522,159978,0,20252,0,0,14136
7/23/2024 9:51:06 AM,202405,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,3870,2211,6443,322229,709086,572432,0,76246,0,0,52969
7/23/2024 9:51:06 AM,202405,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,37,100,77,1367,1836,482,0,169,0,0,40
7/23/2024 9:51:06 AM,202405,Passenger,BLUE ISLANDS LIMITED,175,795,639,33283,11875,7868,9,1068,0,2,707
7/23/2024 9:51:06 AM,202405,Passenger,BRITISH AIRWAYS PLC,58082,21652,86999,3435635,14472861,12277527,40086,2134930,6323,280723,1188572
7/23/2024 9:51:06 AM,202405,Passenger,CATREUS AOC LTD,68,33,93,49,1033,291,0,318,0,0,29
7/23/2024 9:51:06 AM,202405,Passenger,CONCIERGE U LTD,108,26,130,84,1510,350,0,313,0,0,30
