rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
12/19/2024 4:35:08 PM,202410,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,45,21,65,814,2702,1935,0,444,0,0,193
12/19/2024 4:35:08 PM,202410,Passenger,ACROPOLIS AVIATION LTD,36,9,45,76,684,257,0,126,0,0,23
12/19/2024 4:35:08 PM,202410,Passenger,AER LINGUS (UK) LTD,658,109,793,28474,208489,171550,476,31208,234,2625,16125
12/19/2024 4:35:08 PM,202410,Passenger,AIRTANKER SERVICES LTD,643,192,892,3587,200171,145830,0,26223,0,0,12579
12/19/2024 4:35:08 PM,202410,Passenger,ASCEND AIRWAYS LTD,312,133,480,0,59017,51194,0,6295,0,0,4353
12/19/2024 4:35:08 PM,202410,Passenger,AURIGNY AIR SERVICES,311,1308,1235,47710,20758,13366,11,1868,0,0,1203
12/19/2024 4:35:08 PM,202410,Passenger,BA CITYFLYER LTD,1903,2704,4087,219408,200810,158115,0,20062,0,0,13875
12/19/2024 4:35:08 PM,202410,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,4060,2296,6932,319379,747668,590468,0,80207,0,0,55910
12/19/2024 4:35:08 PM,202410,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,35,94,72,1458,1709,495,0,157,0,0,42
12/19/2024 4:35:08 PM,202410,Passenger,BLUE ISLANDS LIMITED,151,744,560,28395,10260,5700,6,923,0,1,513
12/19/2024 4:35:08 PM,202410,Passenger,BRITISH AIRWAYS PLC,57200,21609,86117,3437293,14278816,12248400,46090,2115569,8235,319330,1193161
12/19/2024 4:35:08 PM,202410,Passenger,CATREUS AOC LTD,66,52,99,96,621,183,0,158,0,0,18
12/19/2024 4:35:08 PM,202410,Passenger,CONCIERGE U LTD,81,21,105,95,1131,357,0,234,0,0,31
12/19/2024 4:35:08 PM,202410,Passenger,EASTERN AIRWAYS,367,920,773,11778,31562,18611,0,3156,0,0,1861
12/19/2024 4:35:08 PM,202410,Passenger,EASYJET UK LTD,38391,26495,64347,3872022,6869034,5919594,0,584218,0,0,503250
12/19/2024 4:35:08 PM,202410,Passenger,EMERALD AIRLINES UK LTD,446,1384,1166,71774,32115,23327,0,3345,0,0,1983
12/19/2024 4:35:08 PM,202410,Passenger,EXECUTIVE JET CHARTER LTD,11,11,15,47,142,46,0,11,0,0,5
12/19/2024 4:35:08 PM,202410,Passenger,JET2.COM LTD,28864,12019,43056,2027184,5656537,4927902,0,551562,0,0,418877
12/19/2024 4:35:08 PM,202410,Passenger,LOGANAIR LTD,1495,4495,4520,121102,80740,46624,61,8424,1,15,3963
12/19/2024 4:35:08 PM,202410,Passenger,LONDON EXECUTIVE AVIATION LTD,107,58,150,182,1380,328,0,402,0,0,33
12/19/2024 4:35:08 PM,202410,Passenger,NORSE ATLANTIC UK LTD,1250,178,1577,49949,422480,348608,890,69273,0,6131,31973
12/19/2024 4:35:08 PM,202410,Passenger,RVL AVIATION LTD,23,67,69,0,162,50,0,35,0,1,5
12/19/2024 4:35:08 PM,202410,Passenger,RYANAIR UK LTD,4002,2865,6689,455399,758126,665181,0,82047,0,0,53497
12/19/2024 4:35:08 PM,202410,Passenger,TAG AVIATION (UK) LTD,12,7,17,29,118,47,0,18,0,0,5
12/19/2024 4:35:08 PM,202410,Passenger,TITAN AIRWAYS LTD,1063,431,1583,1589,201388,155259,1,17065,0,17,13195
12/19/2024 4:35:08 PM,202410,Passenger,TUI AIRWAYS LTD,16644,5671,23457,1019008,3639481,3186088,393,465390,0,2347,288476
12/19/2024 4:35:08 PM,202410,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,14394,2141,18332,454843,4145026,3146287,16927,800505,0,119585,295752
12/19/2024 4:35:08 PM,202410,Passenger,VIRGIN ATLANTIC INTERNATIONAL,183,46,247,6416,48436,39755,83,8770,0,507,3737
12/19/2024 4:35:08 PM,202410,Passenger,VOLUXIS LTD,13,7,19,26,148,49,0,13,0,0,4
12/19/2024 4:35:08 PM,202410,Passenger,WIZZ AIR UK LTD,4332,2259,6924,445800,1033500,868594,0,96644,0,0,83082
12/19/2024 4:35:08 PM,202410,Cargo,ASL AIRLINES UK LTD,57,138,164,0,0,0,569,1046,0,283,0
12/19/2024 4:35:08 PM,202410,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,52,20,80,0,0,0,69,1258,0,357,0
12/19/2024 4:35:08 PM,202410,Cargo,BRITISH AIRWAYS PLC,477,220,650,0,0,0,4434,26821,0,21461,0
12/19/2024 4:35:08 PM,202410,Cargo,DHL AIR LTD,3845,1052,5249,0,0,0,30614,297560,0,156960,0
12/19/2024 4:35:08 PM,202410,Cargo,EUROPEAN CARGO LTD,597,85,909,0,0,0,3577,41760,0,28953,0
12/19/2024 4:35:08 PM,202410,Cargo,LOGANAIR LTD,91,257,298,0,0,0,491,637,189,0,0
12/19/2024 4:35:08 PM,202410,Cargo,ONE AIR LTD,203,36,254,0,0,0,1875,24688,0,21178,0
12/19/2024 4:35:08 PM,202410,Cargo,RVL AVIATION LTD,1,4,5,0,0,0,0,2,0,0,0
12/19/2024 4:35:08 PM,202410,Cargo,TITAN AIRWAYS LTD,315,146,496,0,0,0,2404,18786,0,10429,0
12/19/2024 4:35:08 PM,202410,Cargo,VIRGIN ATLANTIC AIRWAYS LTD,3,9,11,0,0,0,79,157,0,28,0
12/19/2024 4:35:08 PM,202410,Cargo,WEST ATLANTIC UK LTD,217,510,547,0,0,0,2325,3918,650,550,0
