rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
6/25/2024 9:29:47 AM,202404,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,20,38,39,1127,1120,573,0,184,0,0,57
6/25/2024 9:29:47 AM,202404,Passenger,ACROPOLIS AVIATION LTD,47,11,59,120,895,548,0,165,0,0,47
6/25/2024 9:29:47 AM,202404,Passenger,AER LINGUS (UK) LTD,686,112,828,23987,217312,146870,359,32528,137,2022,13806
6/25/2024 9:29:47 AM,202404,Passenger,AIRTANKER SERVICES LTD,329,69,433,4216,99950,58918,0,13436,0,0,5219
6/25/2024 9:29:47 AM,202404,Passenger,ASCEND AIRWAYS LTD,0,2,2,87,89,20,0,10,0,0,2
6/25/2024 9:29:47 AM,202404,Passenger,AURIGNY AIR SERVICES,310,1304,1095,46582,23898,13057,11,2151,0,1,1175
6/25/2024 9:29:47 AM,202404,Passenger,BA CITYFLYER LTD,1642,2468,3587,175658,160929,120091,0,16093,0,0,10474
6/25/2024 9:29:47 AM,202404,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,3432,2007,5697,274637,631006,479142,0,66660,0,0,44111
6/25/2024 9:29:47 AM,202404,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,28,90,61,1501,1379,462,0,127,0,0,39
6/25/2024 9:29:47 AM,202404,Passenger,BLUE ISLANDS LIMITED,158,752,597,29514,10731,6462,8,966,0,1,581
6/25/2024 9:29:47 AM,202404,Passenger,BRITISH AIRWAYS PLC,54259,20360,81293,3184355,13511710,11221931,38401,1991637,6164,269400,1086094
6/25/2024 9:29:47 AM,202404,Passenger,CATREUS AOC LTD,66,37,91,45,791,191,0,240,0,0,19
6/25/2024 9:29:47 AM,202404,Passenger,CONCIERGE U LTD,74,17,93,64,1038,322,0,215,0,0,28
6/25/2024 9:29:47 AM,202404,Passenger,EASTERN AIRWAYS,364,900,784,11414,29286,17205,0,2929,0,0,1721
6/25/2024 9:29:47 AM,202404,Passenger,EASYJET UK LTD,32682,23739,55358,3529186,5854250,5107221,0,497898,0,0,434182
6/25/2024 9:29:47 AM,202404,Passenger,EMERALD AIRLINES UK LTD,410,1286,1112,68393,29543,21948,0,3077,0,0,1866
