rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
4/23/2024 9:55:46 AM,202402,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,9,26,20,841,412,311,0,67,0,0,31
4/23/2024 9:55:46 AM,202402,Passenger,ACROPOLIS AVIATION LTD,59,12,79,157,1126,792,0,208,0,0,67
4/23/2024 9:55:46 AM,202402,Passenger,AER LINGUS (UK) LTD,626,104,765,21828,198298,130563,156,29684,9,1044,12273
4/23/2024 9:55:46 AM,202402,Passenger,AIRTANKER SERVICES LTD,353,71,493,4518,109000,59861,0,14394,0,0,5325
4/23/2024 9:55:46 AM,202402,Passenger,AURIGNY AIR SERVICES,219,1038,791,38331,15486,9950,10,1394,0,1,896
4/23/2024 9:55:46 AM,202402,Passenger,BA CITYFLYER LTD,1571,2478,3472,167028,154001,110714,0,15400,0,0,9611
4/23/2024 9:55:46 AM,202402,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,2427,1711,4250,247527,450169,371510,0,48864,0,0,34472
4/23/2024 9:55:46 AM,202402,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,27,86,59,1591,1340,506,0,123,0,0,42
4/23/2024 9:55:46 AM,202402,Passenger,BLUE ISLANDS LIMITED,104,530,411,20161,7100,4086,7,639,0,1,367
4/23/2024 9:55:46 AM,202402,Passenger,BRITISH AIRWAYS PLC,49499,19311,74888,2864170,12371247,9835063,38872,1821107,6088,268279,952655
4/23/2024 9:55:46 AM,202402,Passenger,CATREUS AOC LTD,34,24,51,82,339,126,0,81,0,0,13
4/23/2024 9:55:46 AM,202402,Passenger,CONCIERGE U LTD,109,24,134,106,1533,357,0,317,0,0,30
4/23/2024 9:55:46 AM,202402,Passenger,EASTERN AIRWAYS,178,514,463,14593,12005,6422,0,1200,0,0,642
4/23/2024 9:55:46 AM,202402,Passenger,EASYJET UK LTD,22162,18489,39301,2707889,3977669,3434239,0,338300,0,0,291970
4/23/2024 9:55:46 AM,202402,Passenger,EMERALD AIRLINES UK LTD,365,1148,971,61655,26261,19676,0,2735,0,0,1672
4/23/2024 9:55:46 AM,202402,Passenger,EXECUTIVE JET CHARTER LTD,78,13,60,34,966,139,0,78,0,0,14
4/23/2024 9:55:46 AM,202402,Passenger,JET2.COM LTD,10398,4566,15992,786315,2025983,1832494,0,197525,0,0,155764
4/23/2024 9:55:46 AM,202402,Passenger,LOGANAIR LTD,1280,3781,3826,95933,67138,36856,54,7073,1,12,3133
4/23/2024 9:55:46 AM,202402,Passenger,LONDON EXECUTIVE AVIATION LTD,93,56,138,148,1086,320,0,289,0,0,32
4/23/2024 9:55:46 AM,202402,Passenger,NORSE ATLANTIC UK LTD,889,136,1126,28415,300630,183351,573,49204,0,3487,16409
