rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
3/20/2024 10:03:59 AM,202401,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,33,34,57,1193,1847,1461,0,303,0,0,146
3/20/2024 10:03:59 AM,202401,Passenger,ACROPOLIS AVIATION LTD,2,1,3,17,44,40,0,8,0,0,3
3/20/2024 10:03:59 AM,202401,Passenger,AER LINGUS (UK) LTD,617,104,759,21227,195436,125584,243,29285,122,1236,11805
3/20/2024 10:03:59 AM,202401,Passenger,AIRTANKER SERVICES LTD,292,60,393,4962,88022,47016,0,11906,0,0,4229
3/20/2024 10:03:59 AM,202401,Passenger,AURIGNY AIR SERVICES,203,961,782,34368,14176,8885,12,1276,0,0,800
3/20/2024 10:03:59 AM,202401,Passenger,BA CITYFLYER LTD,1336,2107,2982,137319,130909,90530,0,13091,0,0,7894
3/20/2024 10:03:59 AM,202401,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,2194,1555,3823,213279,402325,310114,0,43632,0,0,28935
3/20/2024 10:03:59 AM,202401,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,24,76,51,1012,1152,314,0,106,0,0,26
3/20/2024 10:03:59 AM,202401,Passenger,BLUE ISLANDS LIMITED,96,513,371,17384,6520,3216,6,587,0,1,289
3/20/2024 10:03:59 AM,202401,Passenger,BRITISH AIRWAYS PLC,51320,19366,76866,2849912,12889557,10308973,36978,1900228,6040,255673,1006109
3/20/2024 10:03:59 AM,202401,Passenger,CATREUS AOC LTD,77,34,104,98,904,350,0,265,0,0,35
3/20/2024 10:03:59 AM,202401,Passenger,CONCIERGE U LTD,88,16,109,65,1230,368,0,255,0,0,32
3/20/2024 10:03:59 AM,202401,Passenger,EASTERN AIRWAYS,154,439,401,11595,10447,4602,0,1045,0,0,460
3/20/2024 10:03:59 AM,202401,Passenger,EASYJET UK LTD,17664,14920,31303,2092282,3181328,2612983,0,270548,0,0,222139
3/20/2024 10:03:59 AM,202401,Passenger,EMERALD AIRLINES UK LTD,397,1244,1245,54352,28550,17425,0,2974,0,0,1481
3/20/2024 10:03:59 AM,202401,Passenger,EXECUTIVE JET CHARTER LTD,27,10,33,20,343,87,0,27,0,0,9
3/20/2024 10:03:59 AM,202401,Passenger,JET2.COM LTD,9307,3923,14184,642120,1812060,1559651,0,176636,0,0,132576
3/20/2024 10:03:59 AM,202401,Passenger,LOGANAIR LTD,1343,3902,3972,91096,67914,35301,53,7217,1,12,3002
3/20/2024 10:03:59 AM,202401,Passenger,LONDON EXECUTIVE AVIATION LTD,97,56,138,148,1265,249,0,388,0,0,25
3/20/2024 10:03:59 AM,202401,Passenger,NORSE ATLANTIC UK LTD,1337,198,1704,36825,454213,251213,642,74336,0,3937,23004
3/20/2024 10:03:59 AM,202401,Passenger,PEN-AVIA LTD,17,6,22,34,261,106,0,44,0,0,9
3/20/2024 10:03:59 AM,202401,Passenger,RVL AVIATION LTD,15,36,39,0,104,32,0,22,0,0,3
3/20/2024 10:03:59 AM,202401,Passenger,RYANAIR UK LTD,2557,1896,4326,274628,483320,386437,0,52421,0,0,31395
3/20/2024 10:03:59 AM,202401,Passenger,TITAN AIRWAYS LTD,315,146,484,13327,61113,37101,5,5269,0,21,3153
3/20/2024 10:03:59 AM,202401,Passenger,TUI AIRWAYS LTD,9556,2751,13210,526904,2289964,2107030,240,310334,0,1632,190791
3/20/2024 10:03:59 AM,202401,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,13301,1974,17123,386392,4695029,2696974,12667,733722,0,88908,253450
3/20/2024 10:03:59 AM,202401,Passenger,VIRGIN ATLANTIC INTERNATIONAL,341,74,454,10118,90154,65514,63,16323,0,420,6159
3/20/2024 10:03:59 AM,202401,Passenger,VOLUXIS LTD,39,10,49,47,515,232,0,52,0,0,21
3/20/2024 10:03:59 AM,202401,Passenger,WIZZ AIR UK LTD,4259,2125,6804,359860,1009492,734523,0,93910,0,0,70260
3/20/2024 10:03:59 AM,202401,Cargo,ASL AIRLINES UK LTD,56,132,158,0,0,0,682,940,0,340,0
3/20/2024 10:03:59 AM,202401,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,52,20,80,0,0,0,71,1258,0,367,0
3/20/2024 10:03:59 AM,202401,Cargo,BRITISH AIRWAYS PLC,310,176,459,0,0,0,3387,15802,0,11969,0
3/20/2024 10:03:59 AM,202401,Cargo,DHL AIR LTD,4038,1142,5653,0,0,0,30961,314291,0,157998,0
3/20/2024 10:03:59 AM,202401,Cargo,EUROPEAN CARGO LTD,389,46,570,0,0,0,943,27203,0,7965,0
3/20/2024 10:03:59 AM,202401,Cargo,LOGANAIR LTD,64,257,238,0,0,0,475,447,127,0,0
3/20/2024 10:03:59 AM,202401,Cargo,ONE AIR LTD,161,28,225,0,0,0,1160,19593,0,13352,0
