rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
9/19/2024 1:01:07 PM,202407,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,49,38,74,1449,2966,1799,0,488,0,0,180
9/19/2024 1:01:07 PM,202407,Passenger,ACROPOLIS AVIATION LTD,49,12,62,130,924,551,0,170,0,0,48
9/19/2024 1:01:07 PM,202407,Passenger,AER LINGUS (UK) LTD,710,116,855,29010,224960,176224,302,33673,180,1576,16565
9/19/2024 1:01:07 PM,202407,Passenger,AIRTANKER SERVICES LTD,781,263,1108,3822,244426,186346,0,31875,0,0,16031
9/19/2024 1:01:07 PM,202407,Passenger,ASCEND AIRWAYS LTD,532,233,819,0,100559,92766,0,10737,0,0,7892
9/19/2024 1:01:07 PM,202407,Passenger,AURIGNY AIR SERVICES,333,1363,1282,56834,22405,16638,10,2016,0,0,1497
9/19/2024 1:01:07 PM,202407,Passenger,BA CITYFLYER LTD,2551,2694,4890,231333,256467,219228,0,25592,0,0,19795
9/19/2024 1:01:07 PM,202407,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,4055,2309,6989,368772,755586,657838,0,80648,0,0,61025
9/19/2024 1:01:07 PM,202407,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,61,129,119,1667,2992,678,0,275,0,0,57
9/19/2024 1:01:07 PM,202407,Passenger,BLUE ISLANDS LIMITED,210,892,748,36220,14269,8928,8,1284,0,1,803
9/19/2024 1:01:07 PM,202407,Passenger,BRITISH AIRWAYS PLC,59123,22049,88694,3749811,14667922,13183776,40860,2168358,6085,282191,1279182
9/19/2024 1:01:07 PM,202407,Passenger,CATREUS AOC LTD,113,68,158,225,1355,512,0,398,0,0,51
9/19/2024 1:01:07 PM,202407,Passenger,CONCIERGE U LTD,74,16,90,83,1040,355,0,215,0,0,31
9/19/2024 1:01:07 PM,202407,Passenger,EASTERN AIRWAYS,407,1011,875,16833,33977,20752,0,3398,0,0,2075
9/19/2024 1:01:07 PM,202407,Passenger,EASYJET UK LTD,39511,27597,66805,4402245,7099568,6581605,0,603799,0,0,559533
9/19/2024 1:01:07 PM,202407,Passenger,EMERALD AIRLINES UK LTD,459,1405,1248,79012,33064,26123,0,3444,0,0,2220
9/19/2024 1:01:07 PM,202407,Passenger,EXECUTIVE JET CHARTER LTD,26,11,30,46,334,77,0,26,0,0,8
9/19/2024 1:01:07 PM,202407,Passenger,JET2.COM LTD,33322,14279,50006,2483545,6524384,5823556,0,636756,0,0,495004
9/19/2024 1:01:07 PM,202407,Passenger,LOGANAIR LTD,1569,4767,4749,135021,84193,52388,58,8780,1,14,4453
9/19/2024 1:01:07 PM,202407,Passenger,LONDON EXECUTIVE AVIATION LTD,138,97,201,332,1603,658,0,412,0,0,65
9/19/2024 1:01:07 PM,202407,Passenger,NORSE ATLANTIC UK LTD,1955,288,2480,76366,660642,516398,1514,108129,0,10269,46577
9/19/2024 1:01:07 PM,202407,Passenger,PEN-AVIA LTD,9,10,15,85,136,51,0,23,0,0,4
9/19/2024 1:01:07 PM,202407,Passenger,RVL AVIATION LTD,28,62,80,0,196,55,0,42,0,0,5
9/19/2024 1:01:07 PM,202407,Passenger,RYANAIR UK LTD,4093,2880,6756,477889,774385,696652,0,83906,0,0,55101
9/19/2024 1:01:07 PM,202407,Passenger,TAG AVIATION (UK) LTD,5,3,8,6,53,13,0,8,0,0,1
9/19/2024 1:01:07 PM,202407,Passenger,TITAN AIRWAYS LTD,1342,611,2030,2209,266094,227523,2,22588,0,10,19338
9/19/2024 1:01:07 PM,202407,Passenger,TUI AIRWAYS LTD,23716,8832,34022,1633751,5089714,4647156,521,640368,0,3138,420773
9/19/2024 1:01:07 PM,202407,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,14849,2203,18846,523590,4275181,3623470,14738,821266,0,102679,340579
9/19/2024 1:01:07 PM,202407,Passenger,VIRGIN ATLANTIC INTERNATIONAL,177,44,238,6789,46761,41860,55,8467,0,356,3934
9/19/2024 1:01:07 PM,202407,Passenger,VOLUXIS LTD,29,17,38,66,366,117,0,37,0,0,9
9/19/2024 1:01:07 PM,202407,Passenger,WIZZ AIR UK LTD,4513,2313,7225,475979,1076757,929837,0,101061,0,0,88934
9/19/2024 1:01:07 PM,202407,Cargo,ASL AIRLINES UK LTD,63,150,182,0,0,0,599,1061,0,289,0
9/19/2024 1:01:07 PM,202407,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,52,20,80,0,0,0,69,1258,0,358,0
9/19/2024 1:01:07 PM,202407,Cargo,BRITISH AIRWAYS PLC,483,210,749,0,0,0,4289,27240,0,23030,0
9/19/2024 1:01:07 PM,202407,Cargo,DHL AIR LTD,4186,1155,5664,0,0,0,32855,325808,0,172954,0
9/19/2024 1:01:07 PM,202407,Cargo,EUROPEAN CARGO LTD,660,78,957,0,0,0,2444,46173,0,21882,0
9/19/2024 1:01:07 PM,202407,Cargo,LOGANAIR LTD,71,203,225,0,0,0,394,495,155,0,0
9/19/2024 1:01:07 PM,202407,Cargo,ONE AIR LTD,185,32,222,0,0,0,1754,22546,0,20327,0
9/19/2024 1:01:07 PM,202407,Cargo,RVL AVIATION LTD,7,26,21,0,0,0,0,11,0,3,0
9/19/2024 1:01:07 PM,202407,Cargo,TITAN AIRWAYS LTD,305,177,511,0,0,0,2362,17564,0,10813,0
9/19/2024 1:01:07 PM,202407,Cargo,VIRGIN ATLANTIC AIRWAYS LTD,16,2,22,0,0,0,12,807,0,99,0
9/19/2024 1:01:07 PM,202407,Cargo,WEST ATLANTIC UK LTD,180,491,485,0,0,0,2232,3003,659,215,0
