rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
8/22/2024 9:52:38 AM,202406,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,16,21,26,789,937,603,0,154,0,0,60
8/22/2024 9:52:38 AM,202406,Passenger,ACROPOLIS AVIATION LTD,35,22,47,292,664,387,0,122,0,0,32
8/22/2024 9:52:38 AM,202406,Passenger,AER LINGUS (UK) LTD,681,112,820,23738,215872,140660,318,32313,163,1719,12674
8/22/2024 9:52:38 AM,202406,Passenger,AIRTANKER SERVICES LTD,752,255,1067,3400,233909,178518,0,30671,0,0,15348
8/22/2024 9:52:38 AM,202406,Passenger,ASCEND AIRWAYS LTD,522,232,808,0,98714,94410,0,10542,0,0,8030
8/22/2024 9:52:38 AM,202406,Passenger,AURIGNY AIR SERVICES,288,1195,1128,50467,19210,14817,9,1728,0,0,1334
8/22/2024 9:52:38 AM,202406,Passenger,BA CITYFLYER LTD,2458,2708,4780,226809,241845,206816,0,24167,0,0,18585
8/22/2024 9:52:38 AM,202406,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,4007,2269,6806,359915,729454,642686,0,78277,0,0,59699
8/22/2024 9:52:38 AM,202406,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,43,92,84,1400,2096,562,0,192,0,0,47
8/22/2024 9:52:38 AM,202406,Passenger,BLUE ISLANDS LIMITED,206,863,712,35501,14039,8936,6,1263,0,1,803
8/22/2024 9:52:38 AM,202406,Passenger,BRITISH AIRWAYS PLC,56971,20964,85178,3484477,14122445,12497635,41278,2082564,6412,287613,1210558
8/22/2024 9:52:38 AM,202406,Passenger,CATREUS AOC LTD,52,30,71,52,660,179,0,204,0,0,18
8/22/2024 9:52:38 AM,202406,Passenger,CONCIERGE U LTD,103,21,124,78,1446,381,0,300,0,0,33
8/22/2024 9:52:38 AM,202406,Passenger,EASTERN AIRWAYS,391,923,826,14518,31743,20042,0,3174,0,0,2004
8/22/2024 9:52:38 AM,202406,Passenger,EASYJET UK LTD,37227,26128,62910,4082894,6686256,6165690,0,568655,0,0,524179
