rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
5/24/2024 9:13:20 AM,202403,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,28,38,53,800,1360,890,0,222,0,0,89
5/24/2024 9:13:20 AM,202403,Passenger,ACROPOLIS AVIATION LTD,30,8,39,91,564,388,0,104,0,0,33
5/24/2024 9:13:20 AM,202403,Passenger,AER LINGUS (UK) LTD,693,115,844,24914,219564,148868,427,32900,217,2290,14030
5/24/2024 9:13:20 AM,202403,Passenger,AIRTANKER SERVICES LTD,343,73,459,3978,101325,62549,0,14010,0,0,5511
5/24/2024 9:13:20 AM,202403,Passenger,AURIGNY AIR SERVICES,233,1090,860,44054,17811,11587,9,1603,0,0,1043
5/24/2024 9:13:20 AM,202403,Passenger,BA CITYFLYER LTD,1725,2683,3823,193749,169036,129987,0,16904,0,0,11327
5/24/2024 9:13:20 AM,202403,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,2684,1879,4698,277581,495190,417354,0,53770,0,0,38836
5/24/2024 9:13:20 AM,202403,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,26,84,57,1393,1286,427,0,118,0,0,36
5/24/2024 9:13:20 AM,202403,Passenger,BLUE ISLANDS LIMITED,124,657,495,26176,8447,5167,9,760,0,2,464
5/24/2024 9:13:20 AM,202403,Passenger,BRITISH AIRWAYS PLC,54285,20940,81809,3291237,13609069,11413888,43987,2006956,6482,305807,1101084
5/24/2024 9:13:20 AM,202403,Passenger,CATREUS AOC LTD,55,28,78,54,607,155,0,196,0,0,15
5/24/2024 9:13:20 AM,202403,Passenger,CONCIERGE U LTD,152,30,187,105,2126,500,0,440,0,0,45
5/24/2024 9:13:20 AM,202403,Passenger,EASTERN AIRWAYS,200,539,510,17729,13369,7194,0,1337,0,0,719
5/24/2024 9:13:20 AM,202403,Passenger,EASYJET UK LTD,25194,21021,44463,3161138,4533555,4029311,0,385613,0,0,342546
5/24/2024 9:13:20 AM,202403,Passenger,EMERALD AIRLINES UK LTD,438,1382,1179,74170,31513,23560,0,3283,0,0,2003
5/24/2024 9:13:20 AM,202403,Passenger,EXECUTIVE JET CHARTER LTD,62,14,42,29,789,105,0,62,0,0,10
5/24/2024 9:13:20 AM,202403,Passenger,JET2.COM LTD,13893,6129,21210,1058599,2700842,2451969,0,263386,0,0,208424
5/24/2024 9:13:20 AM,202403,Passenger,LOGANAIR LTD,1481,4470,4406,102228,77235,39770,64,8135,2,14,3380
5/24/2024 9:13:20 AM,202403,Passenger,LONDON EXECUTIVE AVIATION LTD,109,64,151,170,1400,379,0,403,0,0,38
5/24/2024 9:13:20 AM,202403,Passenger,NORSE ATLANTIC UK LTD,1451,213,1837,46346,490324,371470,782,80625,0,5046,33929
5/24/2024 9:13:20 AM,202403,Passenger,PEN-AVIA LTD,2,8,6,61,34,17,0,6,0,0,1
5/24/2024 9:13:20 AM,202403,Passenger,RVL AVIATION LTD,22,53,57,0,153,51,0,33,0,0,5
5/24/2024 9:13:20 AM,202403,Passenger,RYANAIR UK LTD,2642,1973,4464,307334,499520,422741,0,54171,0,0,34424
5/24/2024 9:13:20 AM,202403,Passenger,TITAN AIRWAYS LTD,319,168,507,15428,62284,36224,9,5287,0,38,3079
5/24/2024 9:13:20 AM,202403,Passenger,TUI AIRWAYS LTD,10593,3142,14738,606784,2476431,2288968,339,331059,0,2286,207239
5/24/2024 9:13:20 AM,202403,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,13701,2056,17604,420539,3899811,2917996,14262,751372,0,99917,274291
5/24/2024 9:13:20 AM,202403,Passenger,VIRGIN ATLANTIC INTERNATIONAL,365,60,474,10446,96252,69379,34,17427,0,231,6521
5/24/2024 9:13:20 AM,202403,Passenger,VOLUXIS LTD,35,11,48,57,418,153,0,42,0,0,13
5/24/2024 9:13:20 AM,202403,Passenger,WIZZ AIR UK LTD,3963,1934,6259,384045,946628,797228,0,87658,0,0,76257
5/24/2024 9:13:20 AM,202403,Cargo,ASL AIRLINES UK LTD,56,131,155,0,0,0,815,963,0,413,0
5/24/2024 9:13:20 AM,202403,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,52,20,81,0,0,0,73,1279,0,379,0
5/24/2024 9:13:20 AM,202403,Cargo,BRITISH AIRWAYS PLC,497,240,764,0,0,0,5297,28543,0,24126,0
5/24/2024 9:13:20 AM,202403,Cargo,DHL AIR LTD,4715,1269,6430,0,0,0,38136,365075,0,200462,0
5/24/2024 9:13:20 AM,202403,Cargo,EUROPEAN CARGO LTD,300,34,445,0,0,0,1497,21025,0,13350,0
5/24/2024 9:13:20 AM,202403,Cargo,LOGANAIR LTD,57,243,201,0,0,0,413,434,109,0,0
5/24/2024 9:13:20 AM,202403,Cargo,ONE AIR LTD,200,35,294,0,0,0,1370,24290,0,15660,0
5/24/2024 9:13:20 AM,202403,Cargo,RVL AVIATION LTD,2,4,6,0,0,0,0,3,0,0,0
5/24/2024 9:13:20 AM,202403,Cargo,TITAN AIRWAYS LTD,224,48,333,0,0,0,880,13617,0,7569,0
5/24/2024 9:13:20 AM,202403,Cargo,VIRGIN ATLANTIC AIRWAYS LTD,1,4,5,0,0,0,159,66,0,56,0
5/24/2024 9:13:20 AM,202403,Cargo,WEST ATLANTIC UK LTD,259,635,659,0,0,0,3279,4558,1195,201,0
