rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
1/22/2025 2:16:31 PM,202411,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,41,39,68,1452,2425,1964,0,398,0,0,196
1/22/2025 2:16:31 PM,202411,Passenger,ACROPOLIS AVIATION LTD,34,6,46,38,648,232,0,119,0,0,20
1/22/2025 2:16:31 PM,202411,Passenger,AER LINGUS (UK) LTD,650,108,788,27452,205955,164040,397,30829,206,2128,15418
1/22/2025 2:16:31 PM,202411,Passenger,AIRTANKER SERVICES LTD,302,72,406,3491,90012,54978,0,12324,0,0,4852
1/22/2025 2:16:31 PM,202411,Passenger,ASCEND AIRWAYS LTD,20,12,32,1288,3864,1934,0,410,0,0,165
1/22/2025 2:16:31 PM,202411,Passenger,AURIGNY AIR SERVICES,264,1167,957,41149,17952,11092,11,1616,0,0,998
1/22/2025 2:16:31 PM,202411,Passenger,BA CITYFLYER LTD,1525,2357,3411,197333,161613,127226,0,16132,0,0,10983
1/22/2025 2:16:31 PM,202411,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,2795,1477,4507,201676,506647,393654,0,55000,0,0,36972
1/22/2025 2:16:31 PM,202411,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,39,80,76,1390,1934,566,0,178,0,0,48
1/22/2025 2:16:31 PM,202411,Passenger,BLUE ISLANDS LIMITED,107,592,373,22995,7281,4063,5,655,0,1,365
1/22/2025 2:16:31 PM,202411,Passenger,BRITISH AIRWAYS PLC,52057,20033,78506,3101270,13167649,11067777,45454,1964138,7842,317468,1075034
1/22/2025 2:16:31 PM,202411,Passenger,CATREUS AOC LTD,75,56,108,88,787,244,0,233,0,0,24
1/22/2025 2:16:31 PM,202411,Passenger,CONCIERGE U LTD,197,43,244,204,2765,792,0,569,0,0,68
1/22/2025 2:16:31 PM,202411,Passenger,EASTERN AIRWAYS,403,1011,823,8506,34658,21255,0,3466,0,0,2126
1/22/2025 2:16:31 PM,202411,Passenger,EASYJET UK LTD,23707,17828,40609,2708594,4267133,3669698,0,362886,0,0,311970
1/22/2025 2:16:31 PM,202411,Passenger,EMERALD AIRLINES UK LTD,401,1256,1056,66737,28840,21324,0,3004,0,0,1813
1/22/2025 2:16:31 PM,202411,Passenger,EXECUTIVE JET CHARTER LTD,13,4,16,9,170,16,0,13,0,0,2
1/22/2025 2:16:31 PM,202411,Passenger,JET2.COM LTD,14660,5891,22024,955473,2869354,2414854,0,279655,0,0,205271
1/22/2025 2:16:31 PM,202411,Passenger,LOGANAIR LTD,1312,3983,3988,102407,70154,39427,55,7337,2,13,3351
1/22/2025 2:16:31 PM,202411,Passenger,LONDON EXECUTIVE AVIATION LTD,88,45,115,98,1170,295,0,343,0,0,29
1/22/2025 2:16:31 PM,202411,Passenger,NORSE ATLANTIC UK LTD,1153,158,1429,44617,389575,329775,888,63860,0,6839,30100
1/22/2025 2:16:31 PM,202411,Passenger,PEN-AVIA LTD,7,5,11,44,110,62,0,19,0,0,5
1/22/2025 2:16:31 PM,202411,Passenger,RVL AVIATION LTD,22,52,65,0,156,50,0,33,0,1,5
1/22/2025 2:16:31 PM,202411,Passenger,RYANAIR UK LTD,3264,2436,5563,376676,618554,505757,0,66903,0,0,41357
1/22/2025 2:16:31 PM,202411,Passenger,TAG AVIATION (UK) LTD,16,9,24,31,158,53,0,24,0,0,5
1/22/2025 2:16:31 PM,202411,Passenger,TITAN AIRWAYS LTD,324,125,480,7645,57675,29702,6,4893,0,27,2526
1/22/2025 2:16:31 PM,202411,Passenger,TUI AIRWAYS LTD,9176,2488,12555,467238,2128260,1902539,326,281506,0,2329,172268
1/22/2025 2:16:31 PM,202411,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,13707,2044,17698,441355,3941441,3042308,18282,756465,0,129713,285980
1/22/2025 2:16:31 PM,202411,Passenger,VIRGIN ATLANTIC INTERNATIONAL,284,58,376,8472,74970,56300,58,13574,0,391,5292
1/22/2025 2:16:31 PM,202411,Passenger,VOLUXIS LTD,13,8,18,23,170,31,0,14,0,0,3
1/22/2025 2:16:31 PM,202411,Passenger,WIZZ AIR UK LTD,4006,2002,6353,387037,957393,784775,0,89327,0,0,75066
1/22/2025 2:16:31 PM,202411,Cargo,ASL AIRLINES UK LTD,49,118,137,0,0,0,503,774,0,262,0
1/22/2025 2:16:31 PM,202411,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,52,20,80,0,0,0,76,1258,0,389,0
1/22/2025 2:16:31 PM,202411,Cargo,BRITISH AIRWAYS PLC,545,233,756,0,0,0,4671,28812,0,22864,0
