rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
11/25/2024 8:38:51 AM,202409,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,51,44,82,1486,2865,1649,0,470,0,0,165
11/25/2024 8:38:51 AM,202409,Passenger,ACROPOLIS AVIATION LTD,50,12,65,107,959,514,0,177,0,0,43
11/25/2024 8:38:51 AM,202409,Passenger,AER LINGUS (UK) LTD,672,110,808,26342,212917,160848,374,31871,197,2035,15120
11/25/2024 8:38:51 AM,202409,Passenger,AIRTANKER SERVICES LTD,725,240,1025,3966,226306,167641,0,29571,0,0,14457
11/25/2024 8:38:51 AM,202409,Passenger,ASCEND AIRWAYS LTD,465,200,718,0,87930,80202,0,9381,0,0,6820
11/25/2024 8:38:51 AM,202409,Passenger,AURIGNY AIR SERVICES,306,1276,1211,52314,20453,15076,12,1841,0,0,1357
11/25/2024 8:38:51 AM,202409,Passenger,BA CITYFLYER LTD,2150,2638,4394,222905,210681,186501,0,22413,0,0,16643
11/25/2024 8:38:51 AM,202409,Passenger,BA EUROFLYER LTD DBA BRITISH AIRWAYS,4119,2335,7114,364617,756199,654342,0,81236,0,0,61023
11/25/2024 8:38:51 AM,202409,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,60,112,113,1489,2929,682,0,269,0,0,57
11/25/2024 8:38:51 AM,202409,Passenger,BLUE ISLANDS LIMITED,176,789,642,34006,11958,7826,7,1076,0,1,704
11/25/2024 8:38:51 AM,202409,Passenger,BRITISH AIRWAYS PLC,56404,20890,85484,3439239,13982450,12333105,41918,2076077,7341,290574,1192141
11/25/2024 8:38:51 AM,202409,Passenger,CATREUS AOC LTD,80,59,117,144,810,289,0,232,0,0,29
11/25/2024 8:38:51 AM,202409,Passenger,CONCIERGE U LTD,101,21,125,82,1416,403,0,293,0,0,34
11/25/2024 8:38:51 AM,202409,Passenger,EASTERN AIRWAYS,356,880,772,13379,29368,18525,0,2937,0,0,1853
11/25/2024 8:38:51 AM,202409,Passenger,EASYJET UK LTD,38550,26970,65390,4062282,6912108,6214036,0,587878,0,0,528292
11/25/2024 8:38:51 AM,202409,Passenger,EMERALD AIRLINES UK LTD,441,1356,1196,72404,31770,23648,0,3309,0,0,2010
11/25/2024 8:38:51 AM,202409,Passenger,EXECUTIVE JET CHARTER LTD,27,7,32,31,351,52,0,27,0,0,5
11/25/2024 8:38:51 AM,202409,Passenger,JET2.COM LTD,31831,13633,47750,2308521,6248049,5417155,0,609373,0,0,460466
11/25/2024 8:38:51 AM,202409,Passenger,LOGANAIR LTD,1485,4439,4501,124332,79783,48392,56,8327,1,13,4114
11/25/2024 8:38:51 AM,202409,Passenger,LONDON EXECUTIVE AVIATION LTD,122,69,166,216,1572,350,0,464,0,0,35
11/25/2024 8:38:51 AM,202409,Passenger,NORSE ATLANTIC UK LTD,1602,233,2043,63465,541485,435699,961,88662,0,6400,40204
11/25/2024 8:38:51 AM,202409,Passenger,RVL AVIATION LTD,22,63,64,0,152,52,0,33,0,1,5
11/25/2024 8:38:51 AM,202409,Passenger,RYANAIR UK LTD,3968,2789,6620,445088,751182,665487,0,81334,0,0,54407
11/25/2024 8:38:51 AM,202409,Passenger,TAG AVIATION (UK) LTD,6,5,9,16,61,17,0,9,0,0,2
11/25/2024 8:38:51 AM,202409,Passenger,TITAN AIRWAYS LTD,1169,525,1787,1959,228275,190182,4,19350,0,15,16164
11/25/2024 8:38:51 AM,202409,Passenger,TUI AIRWAYS LTD,22669,8328,32525,1538496,4896321,4423517,319,620317,0,1596,400507
11/25/2024 8:38:51 AM,202409,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,14444,2153,18501,468760,4165790,3268783,14681,801673,0,103195,307264
11/25/2024 8:38:51 AM,202409,Passenger,VIRGIN ATLANTIC INTERNATIONAL,28,8,39,1135,7365,6871,4,1334,0,26,646
11/25/2024 8:38:51 AM,202409,Passenger,VOLUXIS LTD,54,16,70,67,609,248,0,54,0,0,22
11/25/2024 8:38:51 AM,202409,Passenger,WIZZ AIR UK LTD,4360,2245,6956,460162,1039856,900697,0,97431,0,0,86154
11/25/2024 8:38:51 AM,202409,Cargo,ASL AIRLINES UK LTD,50,120,145,0,0,0,488,835,0,239,0
11/25/2024 8:38:51 AM,202409,Cargo,BAE SYSTEMS (CORP AIR TVL) LTD,41,16,64,0,0,0,53,1007,0,271,0
11/25/2024 8:38:51 AM,202409,Cargo,BRITISH AIRWAYS PLC,446,197,617,0,0,0,4084,25907,0,20986,0
11/25/2024 8:38:51 AM,202409,Cargo,DHL AIR LTD,4500,1164,6053,0,0,0,34745,353054,0,183100,0
11/25/2024 8:38:51 AM,202409,Cargo,EUROPEAN CARGO LTD,545,77,808,0,0,0,3132,38122,0,25680,0
11/25/2024 8:38:51 AM,202409,Cargo,LOGANAIR LTD,81,228,261,0,0,0,470,566,181,0,0
11/25/2024 8:38:51 AM,202409,Cargo,ONE AIR LTD,265,46,340,0,0,0,2349,32218,0,27118,0
11/25/2024 8:38:51 AM,202409,Cargo,RVL AVIATION LTD,1,1,1,0,0,0,0,1,0,0,0
11/25/2024 8:38:51 AM,202409,Cargo,TITAN AIRWAYS LTD,231,156,384,0,0,0,1948,13162,0,7401,0
11/25/2024 8:38:51 AM,202409,Cargo,WEST ATLANTIC UK LTD,152,426,427,0,0,0,2048,2530,591,225,0
